2,0.0141449,-0.781157,9.663578,0.006027222,18.21353,-5.107016
2,0.03196716,-18.99469,14.77059,0.01782227,19.00572,5.977148
2,0.04837036,-38.00041,8.793446,0.0164032,-10.64751,-10.74664
1,0.05526733,27.3529,-19.54008,0.006912231,7.893208,-8.469316
1,0.059021,19.45969,-11.07077,0.003753662,19.32473,15.66357
2,0.06736755,-0.1349659,26.73434,0.008346558,-13.63179,10.19832
2,0.07589722,13.49682,16.53602,0.008529663,7.672211,5.464007
2,0.0791626,5.824614,11.07201,0.003265381,11.11787,22.90162
1,0.08007812,5.293255,11.8296,0.0009155273,9.833149,7.290548
2,0.1041718,4.539892,-4.539059,0.02407837,29.06311,-8.28593
1,0.1134186,24.52321,-3.746869,0.009262085,-12.8264,-5.626109
2,0.1222534,-37.34962,-1.87924,0.008834839,-53.00696,-15.77917
1,0.1282501,-15.65734,-13.89993,0.006011963,-7.212937,-4.629754
2,0.1599731,8.444404,9.270181,0.03172302,11.34641,8.164493
2,0.163681,-2.902003,1.105687,0.003707886,16.19291,-5.184319
1,0.1664429,19.09491,-6.290007,0.0027771,2.16096,-11.92077
1,0.1955566,16.93395,5.630763,0.02911377,18.9464,11.31357
1,0.2099762,-2.012451,-5.682804,0.01441956,7.825766,-17.5576
2,0.2238617,9.838217,-11.8748,0.0138855,2.785044,-16.32624
1,0.2581787,-7.053177,-4.451448,0.03431702,-0.3990936,7.640091
2,0.2676697,6.654083,12.09154,0.009490967,-12.1414,6.600032
1,0.2781525,-18.79548,-5.491508,0.01048279,-18.9227,-6.373602
2,0.2867126,-0.1272144,-0.8820949,0.008544922,-5.781735,-2.786606
1,0.2973328,-5.65452,-1.904512,0.01062012,-0.5782719,-10.35229
2,0.2991486,5.07625,-8.447777,0.001815796,-2.284949,-12.76274
1,0.3312683,-7.361197,-4.31496,0.03211975,13.43631,-8.308901
2,0.3345032,20.79751,-3.993942,0.003234863,14.83879,-4.841171
2,0.3453522,5.958712,0.847229,0.010849,-1.62376,15.57295
1,0.3471985,-7.582476,14.72572,0.00138855,13.61569,11.69609
2,0.3532562,21.19817,-3.029634,0.00604248,4.309937,-8.676908
1,0.372467,-16.88824,-5.647275,0.01922607,-9.297932,-5.787875
1,0.4125366,-7.590303,0.1406021,0.04006958,17.43909,6.904629
2,0.4229431,25.02938,6.764022,0.01040649,30.30282,10.12957
1,0.4319611,5.273415,3.365548,0.009017944,20.36402,12.36143
1,0.4382477,-15.0906,-8.995878,0.006286621,-12.02739,7.268753
1,0.476944,-3.063206,-16.26463,0.03869629,1.715607,-10.42311
2,0.4806976,4.778828,5.841524,0.003738403,-1.071541,9.216339
2,0.5095825,5.850368,-3.374815,0.02888489,10.46298,-1.861839
1,0.5185852,4.61261,1.512977,0.009002686,6.915825,-6.955604
2,0.532074,2.303192,-8.46858,0.01347351,-12.07658,-15.57568
2,0.5425415,14.37978,7.107097,0.01046753,17.58587,5.703609
1,0.556839,3.20607,-1.403485,0.01431274,-38.61747,5.910498
2,0.5647278,-41.82356,7.313984,0.007873535,-40.54844,1.541939
1,0.5735474,1.275124,-5.772046,0.00881958,12.36187,-2.302426
2,0.5751953,11.08675,3.469617,0.00163269,5.706532,0.6858759
1,0.6001129,-5.380215,-2.783741,0.0249176,-18.85598,4.433662
2,0.6038055,-13.47575,7.217403,0.003677368,-8.112728,5.100527
2,0.6167755,-5.363024,2.116876,0.01296997,-14.19707,-10.61703
1,0.623703,-8.834044,-12.73391,0.007385254,18.40693,-5.576313
2,0.6397095,27.24097,7.157595,0.01599121,31.61218,15.77813
1,0.6448059,4.371208,8.620538,0.005111694,6.460957,13.0312
1,0.6485138,-2.089752,-4.410661,0.003707886,10.88357,4.507645
2,0.6627197,12.97333,8.918307,0.01419067,-4.113583,7.775726
1,0.6828918,-17.08693,-1.142579,0.01971436,-18.10292,4.615697
2,0.7371521,-1.016014,5.758279,0.054245,-11.78841,-1.847639
2,0.7661133,10.7724,7.605917,0.02896118,20.13301,0.7928624
2,0.7844238,-9.360611,6.813055,0.01831055,-21.03247,-5.503061
2,0.8138275,11.67186,12.31611,0.02940369,30.60458,6.392229
1,0.818222,18.93272,-5.923886,0.004394531,35.05826,-8.660096
2,0.8302765,16.12552,-2.736212,0.01203918,6.103619,-15.14018
2,0.848175,10.0219,12.40397,0.01789856,10.1359,-1.487642
1,0.8504944,0.1139984,-13.89162,0.002334595,20.87292,-5.959499
1,0.8718414,-20.75893,-7.932117,0.02134705,-13.6012,12.76715
2,0.873703,7.157738,20.69927,0.001861572,NaN,NaN
1,0.9173279,-2.708382,-3.162143,0.04364014,NaN,NaN
2,0.01570129,-18.94332,4.890733,0.01106262,-14.54072,-0.08967328
1,0.03622437,4.402605,-4.980406,0.02052307,9.103518,-3.069234
2,0.04319763,4.700916,1.911169,0.006958008,-10.37091,-3.887784
2,0.07546997,15.07182,5.798954,0.03227234,4.136065,14.58846
2,0.08757019,10.93576,-8.789511,0.01210022,14.12252,5.894165
2,0.1006165,-3.186757,-14.68368,0.01304626,-31.09888,-10.40162
2,0.1135559,27.91212,-4.282052,0.01293945,21.20385,0.7513676
2,0.1218719,6.708277,-5.033419,0.00831604,37.75248,-3.088968
1,0.2253723,31.04421,1.944449,0.1039581,20.52419,-6.395534
2,0.252655,-10.52003,-8.339983,0.02726746,5.935135,-3.592276
1,0.2531128,16.45516,4.747707,0.0004577637,20.84774,-3.25424
2,0.2746124,4.392578,-8.001946,0.02148438,-11.30645,-12.8427
2,0.2948151,15.69903,4.840754,0.02020264,15.50719,7.455862
1,0.3036041,-0.1918373,2.615108,0.008804321,6.016514,1.955206
1,0.4146423,-6.208366,0.6599022,0.1110382,-9.197144,1.803042
2,0.4190979,-2.9888,1.14314,0.004455566,28.73373,-1.858495
1,0.4382019,31.72253,-3.001636,0.01911926,28.67665,-8.644892
1,0.4602966,3.045876,5.643256,0.02209473,-17.90607,7.080581
1,0.4754486,20.95194,-1.437325,0.01515198,12.07719,0.1897895
2,0.4837799,-8.874756,1.627115,0.008331299,-4.317154,16.16059
2,0.5055237,-4.557602,-14.53348,0.02174377,-3.929817,-4.923609
2,0.5417633,-0.6277847,-9.609867,0.03623962,-9.315052,-15.53772
1,0.5447998,-8.687263,-5.927856,0.003036499,-14.68424,-2.096031
2,0.5567474,-5.99699,3.831826,0.01193237,15.9503,0.4558425
1,0.5705566,21.94729,-3.375984,0.0138092,22.58372,-3.252528
1,0.5895691,-0.6364212,-0.1234555,0.01901245,-16.07011,-0.9772615
2,0.6222534,-15.43368,-0.853807,0.03266907,8.275665,-2.237719
1,0.6287842,23.70935,-1.383912,0.006530762,32.97721,-1.425717
2,0.6508636,9.26786,-0.04180622,0.02206421,10.24792,-1.857802
2,0.6616058,-0.9800644,1.815996,0.01074219,9.396729,-1.030625
1,0.6627655,10.37682,-2.846622,0.001159668,30.5524,-0.8405495
1,0.6873932,-20.1756,-2.006073,0.02462769,11.78715,6.767314
2,0.6992493,31.96276,8.773388,0.01185608,22.48428,10.13403
1,0.7043762,-9.47847,1.360638,0.005142212,NaN,NaN
2,0.7259064,40.70103,2.546364,0.02153015,6.40181,-0.878051
2,0.782486,34.29922,3.424415,0.05657959,-3.392471,11.42786
2,0.8179932,37.6917,-8.003447,0.0355072,NaN,NaN
1,0.0308075,-5.243462,7.989838,0.01028442,-9.730019,-12.96816
2,0.0389328,-4.486553,-20.958,0.008117676,-1.665936,-28.87043
2,0.06181335,-2.820621,7.912435,0.02288055,14.0915,-4.851518
2,0.07743835,-16.91212,12.76395,0.015625,15.41,4.757695
1,0.08323669,32.32212,-8.006258,0.005805969,31.92929,-7.867486
1,0.09277344,0.3928223,-0.1387734,0.009536743,6.28759,0.1242776
2,0.1037521,5.894768,0.2630515,0.01097107,5.610481,0.4813824
2,0.119606,0.2842865,-0.2183313,0.01585388,20.63424,-4.663585
1,0.1214676,20.34995,-4.445254,0.001869202,38.10193,-9.752626
2,0.127533,17.752,-5.307371,0.006057739,14.59334,-5.4955
2,0.1778717,3.158661,0.1881294,0.05033875,9.596779,-5.530003
1,0.2321396,6.438164,-5.718132,0.05427551,22.31781,-10.99375
1,0.2456741,-15.87968,5.275616,0.01353455,-40.7857,11.31335
1,0.2642975,24.90602,-6.037736,0.01862335,18.45535,1.82477
2,0.3082504,-6.450699,7.862505,0.04394531,13.06,19.72921
1,0.3087158,19.51069,11.8667,0.0004730225,3.165161,29.20451
1,0.3238907,16.34553,-17.33781,0.01517487,23.86861,-19.926
1,0.3358002,-7.523087,2.588192,0.01190948,-2.355606,-5.534349
2,0.3409119,5.167465,-8.12254,0.005104065,33.74794,-19.35927
1,0.3488235,28.58044,-11.23674,0.007919312,13.76311,13.78154
1,0.3518448,14.81732,-25.01828,0.00302124,14.83725,-15.0999
1,0.3847046,-0.01992798,-9.91838,0.0328598,11.40929,0.5623547
2,0.4170074,11.42918,10.48073,0.03229523,-1.632324,10.69144
1,0.4424286,-13.06152,0.2107031,0.02542877,21.29868,-13.3891
2,0.4480438,34.36017,-13.5998,0.005607605,25.33182,-13.58309
2,0.4547882,9.028351,-0.01671505,0.006744385,25.24712,-9.928247
2,0.4885559,-16.21877,9.911532,0.0337677,7.097336,-2.258047
1,0.4988022,23.3161,-12.16958,0.01025391,21.3389,4.864158
2,0.5209961,-1.977234,17.03374,0.02218628,5.92749,2.890364
1,0.5310593,7.904785,-14.14338,0.0100708,-31.95869,-2.043528
1,0.555481,39.86349,-12.09985,0.02442169,22.15277,-16.5397
2,0.5594711,-17.71072,-4.439854,0.003982544,-3.664337,-16.21562
1,0.5678558,14.04639,-11.77576,0.008392334,-15.26221,-6.140474
1,0.577652,29.30859,-5.635288,0.009796143,30.38686,3.227655
2,0.5823441,1.078262,8.862953,0.004684448,-10.88742,8.127026
2,0.5923462,11.96564,0.7359333,0.01000214,10.37036,2.948282
1,0.5991135,-1.595306,2.212353,0.006774902,11.19818,-5.495218
